Region,Country,Name,Style,Substyle,IBU,Rating,ABV,Price,Volume_Per_Container,Bottles_Per_Unit
EUROPE,UNITED KINGDOM,WYCHWOOD - PADDY'S TOUT,STOUT,ENGLISH STOUT,NA,3.25,4.3,3.5,0.5,1
CANADA,CANADA,OKANAGAN SPRING - 1516 BAVARIAN LAGER,LAGER,HELLES,NA,3.28,5,12.99,0.341,6
USA,UNITED STATES OF AMERICA,LAGUNITAS IPA,IPA,AMERICAN IPA,46,3.78,5.7,14.99,0.355,6
ASIA,JAPAN,SAPPORO PREMIUM,LAGER,PALE LAGER,24,3.17,5,12.99,0.341,6
CANADA,CANADA,HELL'S GATE - HONEY CAN,LAGER,AMERICAN ADJUNCT,NA,3.01,5.9,7.99,0.355,6
USA,UNITED STATES OF AMERICA,MILLER GENUINE DRAFT,LAGER,AMERICAN ADJUNCT,12,2.49,4.7,12.69,0.355,6
CANADA,CANADA,COLUMBIA - KOKANEE CAN 30 PK,LAGER,AMERICAN ADJUNCT,NA,2.8,5,55.99,0.355,30
CANADA,CANADA,LABATT - BUDWEISER CAN 30 PK,LAGER,AMERICAN ADJUNCT,12,2.5,5,55.99,0.355,30
CANADA,CANADA,MOLSON - BLACK SUPREME CAN,MALT,MALT,NA,2.4,8,8.15,0.355,6
EUROPE,POLAND,TYSKIE,LAGER,PALE LAGER,19,3.09,5.5,2.75,0.5,1
CANADA,CANADA,R & B - RAVEN CREAM ALE,HYBRID,CREAM ALE,18,3.37,4.8,4.95,0.65,1
CANADA,CANADA,LABATT - BUD LIGHT LIME CAN,LAGER,AMERICAN LIGHT LAGER,8,2.59,4,25.49,0.355,12
CANADA,CANADA,LABATT - BUDWEISER,LAGER,AMERICAN ADJUNCT,12,2.5,5,23.49,0.341,12
CANADA,CANADA,COLUMBIA - KOKANEE,LAGER,AMERICAN ADJUNCT,NA,2.8,5,23.49,0.341,12
CANADA,CANADA,LABATT - BLUE CAN,LAGER,PILSNER,NA,2.84,5,9.35,0.355,6
CANADA,CANADA,MOLSON - CANADIAN CAN,LAGER,AMERICAN ADJUNCT,15,2.86,5,17.99,0.355,12
CANADA,CANADA,MOOSEHEAD LAGER,LAGER,AMERICAN ADJUNCT,13,3.08,5,23.69,0.341,12
CANADA,CANADA,MCAUSLAN - ST AMBROISE PALE ALE,PALE ALE,AMERICAN PALE ALE,35,3.13,5,12.45,0.341,6
CANADA,CANADA,TIN WHISTLE - PEACH CREAM ALE,HYBRID,FRUIT BEER,10,3.43,5,5.15,0.65,1
CANADA,CANADA,GRANVILLE ISLAND - ENGLISH BAY PALE ALE,PALE ALE,ENGLISH PALE ALE,18,3.33,5,22.95,0.341,12
CANADA,CANADA,GRANVILLE ISLAND - ISLAND LAGER,LAGER,PALE LAGER,19,3.21,5,22.95,0.341,12
EUROPE,UNITED KINGDOM,YOUNG'S DOUBLE CHOCOLATE STOUT,STOUT,ENGLISH STOUT,25,3.7,5,3.55,0.5,1
EUROPE,UNITED KINGDOM,COURAGE DIRECTORS TALL CAN,PALE ALE,ENGLISH BITTER,35,3.32,4.8,1.99,0.5,1
CANADA,CANADA,PARALLEL 49 - DEFIBRILLATOR DOPPELBOCK,BOCK,DOPPELBOCK,25,3.46,8.5,5.95,0.65,1
CANADA,CANADA,CENTRAL CITY - VCBW PREVALE,HYBRID,CALIFORNIA COMMON,50,3.48,7,4.95,0.65,1
USA,UNITED STATES OF AMERICA,SAMUEL ADAMS FAT JACK,SPECIALTY,PUMPKIN,NA,3.69,5,7.25,0.75,1
CANADA,CANADA,PARALLEL 49 - SALTY SCOT SEA SALTED CARAMEL SCOTCH ALE,STRONG ALE,SCOTCH ALE,17,3.77,7.5,5,0.65,1
CANADA,CANADA,WHISTLER - GRAPEFRUIT ALE,SPECIALTY,FRUIT BEER,14,3.49,5,11.99,0.33,6
