"","Region","Country","Name","Style","Substyle","IBU","Rating","ABV","Price","Price_L","Value_metric"
"204","USA","UNITED STATES OF AMERICA","SAMUEL ADAMS BOSTON LAGER","LAGER","VIENNA LAGER","30",3.42,5,12.99,6.1,0.560785219399538
"205","EUROPE","ICELAND","BRIO TALL CAN","LAGER","PILSNER","32",3.1,4.8,1.99,3.98,0.778894472361809
"206","CANADA","CANADA","WHISTLER - BEAR PAW HONEY LAGER","LAGER","PALE LAGER","16",3.49,5,12.25,6.19,0.564097959183674
"207","CANADA","CANADA","OKANAGAN SPRING - CLOUDY AMBER ALE","RED ALE","AMERICAN AMBER","38",3.23,5,12.99,6.35,0.508743648960739
"208","EUROPE","GERMANY","WERNESGRUNER PILS TALL CAN","LAGER","PILSNER","35",3.1,4.9,2.15,4.3,0.72093023255814
"209","USA","UNITED STATES OF AMERICA","PYRAMID BREWERIES - SEASONAL CURVE BALL BLONDE ALE","PALE ALE","AMERICAN BLONDE ALE","18",3.34,5.5,4.99,7.68,0.435070140280561
"210","CANADA","CANADA","CENTRAL CITY - RED RACER IMPERIAL IPA","IPA","IMPERIAL IPA","90",3.8,9,6.5,10,0.38
"211","USA","UNITED STATES OF AMERICA","SIERRA SEASONAL","IPA","AMERICAN IPA",NA,3.68,6.2,14.24,6.69,0.550449438202247
"212","EUROPE","NETHERLANDS","GROLSCH PREMIUM LAGER TALL CAN","LAGER","PILSNER",NA,3.22,5,2.29,4.58,0.703056768558952
"213","EUROPE","GERMANY","WARSTEINER PREMIUM VERUM TALL CAN","LAGER","PILSNER","27",3.22,4.8,10.25,5.12,0.628292682926829
"214","USA","UNITED STATES OF AMERICA","BUD LIGHT LIME","LAGER","AMERICAN LIGHT LAGER","8",2.59,4,25.49,6.44,0.402369556688898
"215","CANADA","CANADA","LABATT - BUDWEISER CROWN","LAGER","AMERICAN AMBER","15",2.71,6,23.49,5.74,0.472086845466156
"216","CANADA","CANADA","STROH CANADA - OLD MILWAUKEE LIGHT CAN","LAGER","AMERICAN LIGHT LAGER",NA,2.36,4,20.25,3.8,0.620592592592592
"217","EUROPE","NETHERLANDS","BAVARIA ORIGINAL BREW","LAGER","PALE LAGER",NA,2.2,5,12.99,4.33,0.508083140877598
"218","EUROPE","UNITED KINGDOM","FULLERS LONDON PRIDE TALL CAN","PALE ALE","ESB",NA,3.42,4.7,11.3,5.65,0.605309734513274
"219","EUROPE","SPAIN","ESTRELLA DAMM INEDIT","WHEAT","BELGIAN WITBIER","18",3.53,5,6.99,9.32,0.378755364806867
"220","CANADA","CANADA","NELSON - PADDYWHACK IPA ORGANIC","IPA","AMERICAN IPA",NA,3.38,6.5,12.25,5.99,0.564528979591837
"221","CANADA","CANADA","MOLSON - EXTRA OLD STOCK CAN","MALT","MALT",NA,2.25,5.65,19.85,3.73,0.603589420654912
"222","CANADA","CANADA","GRANVILLE ISLAND - CYPRESS HONEY LAGER CAN","LAGER","PALE LAGER","15",3.33,4.8,12.99,6.1,0.546027713625866
"223","EUROPE","BELGIUM","KARMELIET TRIPEL","STRONG ALE","BELGIAN TRIPEL","16",4.03,8.4,3.64,11.03,0.365357142857143
